product_category_name,order_purchase_timestamp,order_quantity
casa_construcao,2018-08-14,2
casa_construcao,2018-08-17,1
casa_construcao,2018-08-19,2
casa_construcao,2018-08-20,1
casa_construcao,2018-08-22,1
casa_construcao,2018-08-23,1
casa_construcao,2018-08-26,1
eletrodomesticos,2017-02-12,1
eletrodomesticos,2017-02-13,1
eletrodomesticos,2017-02-14,1
eletrodomesticos,2017-02-15,2
eletrodomesticos,2017-02-17,1
eletrodomesticos,2017-02-18,1
eletrodomesticos,2017-03-04,3
eletrodomesticos,2017-03-07,1
eletrodomesticos,2017-03-13,1
eletrodomesticos,2017-03-14,1
eletrodomesticos,2017-03-16,1
eletrodomesticos,2017-03-19,1
eletrodomesticos,2017-03-21,1
eletrodomesticos,2017-03-23,1
eletrodomesticos,2017-04-04,1
eletrodomesticos,2017-04-05,1
eletrodomesticos,2017-04-11,1
eletrodomesticos,2017-04-14,1
eletrodomesticos,2017-04-18,2
eletrodomesticos,2017-04-27,1
eletrodomesticos,2017-04-29,2
eletrodomesticos,2017-04-30,1
eletrodomesticos,2017-05-01,1
eletrodomesticos,2017-05-02,1
eletrodomesticos,2017-05-03,1
eletrodomesticos,2017-05-04,3
eletrodomesticos,2017-05-05,1
eletrodomesticos,2017-05-06,3
eletrodomesticos,2017-05-08,2
eletrodomesticos,2017-05-10,1
eletrodomesticos,2017-05-11,1
eletrodomesticos,2017-05-13,1
eletrodomesticos,2017-05-14,1
eletrodomesticos,2017-05-15,2
eletrodomesticos,2017-05-16,1
eletrodomesticos,2017-05-17,1
eletrodomesticos,2017-05-18,1
eletrodomesticos,2017-05-23,1
eletrodomesticos,2017-05-27,1
eletrodomesticos,2017-05-29,2
eletrodomesticos,2017-05-30,3
eletrodomesticos,2017-06-01,1
eletrodomesticos,2017-06-02,3
eletrodomesticos,2017-06-05,1
eletrodomesticos,2017-06-06,1
eletrodomesticos,2017-06-07,2
eletrodomesticos,2017-06-08,1
eletrodomesticos,2017-06-11,2
eletrodomesticos,2017-06-12,1
eletrodomesticos,2017-06-13,1
eletrodomesticos,2017-06-14,4
eletrodomesticos,2017-06-15,2
eletrodomesticos,2017-06-18,2
eletrodomesticos,2017-06-19,4
eletrodomesticos,2017-06-20,3
eletrodomesticos,2017-06-22,1
eletrodomesticos,2017-06-24,1
eletrodomesticos,2017-06-25,2
eletrodomesticos,2017-06-27,5
eletrodomesticos,2017-06-28,2
